Google_Code,OCR_Code
eng,eng
th,tha
ja,jpn
ko,kor
zh-CN,chi_sim
zh-TW,chi_tra
ar,ara
hi,hin
bn,ben
te,tel
mr,mar
ta,tam
gu,guj
kn,kan
ml,mal
pa,pan
or,ori
as,asm
ne,nep
si,sin
my,mya
km,khm
lo,lao
vi,vie
id,ind
ms,msa
tl,fil
jv,jav
su,sun
ceb,ceb
ru,rus
uk,ukr
be,bel
bg,bul
mk,mkd
sr,srp
hr,hrv
sl,slv
cs,ces
sk,slk
pl,pol
de,deu
nl,nld
af,afr
fr,fra
it,ita
es,spa
pt,por
ca,cat
gl,glg
eu,eus
is,isl
no,nor
sv,swe
da,dan
fi,fin
et,est
lv,lav
lt,lit
ro,ron
hu,hun
tr,tur
az,aze
kk,kaz
ky,kir
uz,uzb
tg,tgk
mn,mon
he,heb
yi,yid
fa,fas
ps,pus
ur,urd
sd,snd
el,ell
hy,hye
ka,kat
am,amh
ti,tir
om,orm
so,som
sw,swa
rw,kin
lg,lug
ak,aka
tw,twi
yo,yor
ig,ibo
ha,hau
zu,zul
xh,xho
st,sot
sn,sna
tn,tsn
ts,tso
ss,ssw
ve,ven
nr,nbl
nd,nde
ny,nya
mg,mlg
co,cos
cy,cym
ga,gle
mt,mlt
sq,sqi
bs,bos
ht,hat
mi,mri
sm,smo
to,ton
fj,fij
haw,haw
qu,que
ay,aym
gn,grn
sa,san
dv,div
bo,bod
dz,dzo
ug,uig
iu,iku
oj,oji
cr,cre
ln,lin
wo,wol
ff,ful
aa,aar
ab,abk
ae,ave
an,arg
av,ava
ba,bak
bi,bis
br,bre
ch,cha
cu,chu
cv,chv
ee,ewe
fo,fao
fy,fry
gd,gla
gv,glv
ho,hmo
ie,ile
ik,ipk
io,ido
kg,kon
kj,kua
kr,kau
ku,kur
kw,cor
lb,ltz
li,lim
mh,mah
na,nau
nb,nob
ng,ndo
nn,nno
nv,nav
oc,oci
pi,pli
rm,roh
rn,run
sc,srd
se,sme
sg,sag
tk,tuk
tt,tat
ty,tah
wa,wln
za,zha
zh,chi_sim 